"filename", "language", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\+not-found.tsx", "TypeScript JSX", 0, -28, 0, -1, -29
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\_layout.tsx", "TypeScript JSX", 0, -37, 0, -4, -41
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\index.tsx", "TypeScript JSX", 0, -67, -1, -1, -69
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\mensajeria.tsx", "TypeScript JSX", 0, -61, -1, -3, -65
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\recursos\cripto.tsx", "TypeScript JSX", 0, -53, 0, -6, -59
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\recursos\secureStore.tsx", "TypeScript JSX", 0, -9, 0, -4, -13
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\recursos\style.tsx", "TypeScript JSX", 0, -123, 0, -9, -132
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\registro_sala.tsx", "TypeScript JSX", 0, -117, 0, -6, -123
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\registro_user.tsx", "TypeScript JSX", 0, -80, 0, -4, -84
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\useFetchMessages.tsx", "TypeScript JSX", 0, -42, 0, -6, -48
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\assets\Componentes\Nota.jsx", "JavaScript JSX", 11, 0, 0, 1, 12
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\assets\Componentes\mensaje.jsx", "JavaScript JSX", 71, 0, 0, 1, 72
"Total", "-", 82, -617, -2, -42, -579
