"filename", "language", "HTML", "PostCSS", "JSON", "JavaScript", "Markdown", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\drizzle\migrations.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\eas.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\metro.config.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 4, 9
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\package-lock.json", "JSON", 0, 0, 14900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14901
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\package.json", "JSON", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\README.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 18, 50
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\database\mensajer__a.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 59, 30, 152
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Metodológico\Met Agil y Scrum.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Metodológico\Metodología de Desarrollo.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 8
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Metodológico\Rol de Integrantes.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Teorico\Historia.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 17, 50
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Teorico\NOTAS.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Marco Teorico\Plataformas.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 14, 27
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\Planteamientos\Obj-Hipo-Justi.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15, 30
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\docs\intro\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Block Notas.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Index.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 23
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Mensajes.html", "HTML", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 83
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Notas.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\style.css", "PostCSS", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 120
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\javascript\chat.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 0, 51
"Total", "-", 137, 117, 15335, 66, 187, 18, 101, 51, 2002, 29, 158, 89, 271, 18561
